Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/13030/m52596n4,ark:/21198/z14f798k,,Work,135.0,0135.01.0010|~|133343|~|2452_ca_object_representations_media_101484_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/10181_ca_object_representations_media_101484_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/2452_ca_object_representations_media_101484_original.jpg,https://palarchive.org/index.php/Detail/objects/133343/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,,,color slides,,,
ark:/13030/m5j755d3,ark:/21198/z14f798k,,Work,135.0,0135.01.0011|~|133344|~|80059_ca_object_representations_media_101485_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy showing the map of Palestine|~|لوحة للفنان عدنان الزبيدي يظهر فيها خريطة فلسطين.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/12908_ca_object_representations_media_101485_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/80059_ca_object_representations_media_101485_original.jpg,https://palarchive.org/index.php/Detail/objects/133344/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy showing the map of Palestine,لوحة للفنان عدنان الزبيدي يظهر فيها خريطة فلسطين.,color slides,,,
ark:/13030/m5nw76r7,ark:/21198/z14f798k,,Work,135.0,0135.01.0012|~|133345|~|55286_ca_object_representations_media_101486_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/58616_ca_object_representations_media_101486_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/55286_ca_object_representations_media_101486_original.jpg,https://palarchive.org/index.php/Detail/objects/133345/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
ark:/13030/m5xd8q4d,ark:/21198/z14f798k,,Work,135.0,0135.01.0013|~|133346|~|61210_ca_object_representations_media_101487_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي بعنوان ""ناجي العلي""","An Artwork by ‘adnan Zubaydy entitled ""Naji al-Ali""","An Artwork by ‘adnan Zubaydy entitled ""Naji al-Ali""|~|لوحة للفنان عدنان الزبيدي بعنوان ""ناجي العلي"".","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/10844_ca_object_representations_media_101487_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/61210_ca_object_representations_media_101487_original.jpg,https://palarchive.org/index.php/Detail/objects/133346/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:20,9 March 2021 at 11:23:33,"An Artwork by ‘adnan Zubaydy entitled ""Naji al-Ali""","لوحة للفنان عدنان الزبيدي بعنوان ""ناجي العلي"".",color slides,,,
ark:/13030/m54z2x8s,ark:/21198/z14f798k,,Work,135.0,0135.01.0014|~|133347|~|60459_ca_object_representations_media_101488_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/44107_ca_object_representations_media_101488_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/60459_ca_object_representations_media_101488_original.jpg,https://palarchive.org/index.php/Detail/objects/133347/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:33,,,color slides,,,
ark:/13030/m5dg4dpc,ark:/21198/z14f798k,,Work,135.0,0135.01.0015|~|133348|~|1640_ca_object_representations_media_101489_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/91787_ca_object_representations_media_101489_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/1640_ca_object_representations_media_101489_original.jpg,https://palarchive.org/index.php/Detail/objects/133348/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
ark:/13030/m5h784bm,ark:/21198/z14f798k,,Work,135.0,0135.01.0016|~|133349|~|26270_ca_object_representations_media_101490_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/63916_ca_object_representations_media_101490_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/26270_ca_object_representations_media_101490_original.jpg,https://palarchive.org/index.php/Detail/objects/133349/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:33,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
ark:/13030/m5sn7zdp,ark:/21198/z14f798k,,Work,135.0,0135.01.0017|~|133350|~|9358_ca_object_representations_media_101491_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي بعنوان ""الحريّات الأكاديمية نضال مستمر""","An Artwork by ‘adnan Zubaydy entitled ""Academic Freedom is a Continuous Struggle""","An Artwork by ‘adnan Zubaydy entitled ""Academic Freedom is a Continuous Struggle""|~|لوحة للفنان عدنان الزبيدي بعنوان ""الحريّات الأكاديمية نضال مستمر"".","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/30699_ca_object_representations_media_101491_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/9358_ca_object_representations_media_101491_original.jpg,https://palarchive.org/index.php/Detail/objects/133350/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:33,"An Artwork by ‘adnan Zubaydy entitled ""Academic Freedom is a Continuous Struggle""","لوحة للفنان عدنان الزبيدي بعنوان ""الحريّات الأكاديمية نضال مستمر"".",color slides,,,
ark:/13030/m58q3p1z,ark:/21198/z14f798k,,Work,135.0,0135.01.0018|~|133351|~|69209_ca_object_representations_media_101492_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,"لوحة للفنان عدنان الزبيدي  بعنوان ""العلم الأمريكي أسلاك شائكة""","An Artwork by ‘adnan Zubaydy entitled ""The American Flag is Barbed Wires""","An Artwork by ‘adnan Zubaydy entitled ""The American Flag is Barbed Wires""|~|لوحة للفنان عدنان الزبيدي بعنوان ""العلم الأمريكي أسلاك شائكة"".","Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/86716_ca_object_representations_media_101492_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/69209_ca_object_representations_media_101492_original.jpg,https://palarchive.org/index.php/Detail/objects/133351/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:32,"An Artwork by ‘adnan Zubaydy entitled ""The American Flag is Barbed Wires""","لوحة للفنان عدنان الزبيدي بعنوان ""العلم الأمريكي أسلاك شائكة"".",color slides,,,
ark:/13030/m51625gv,ark:/21198/z14f798k,,Work,135.0,0135.01.0019|~|133352|~|94680_ca_object_representations_media_101493_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحات للفنان عدنان الزبيدي حول الأحزاب الصهيونية,Artworks by ‘adnan Zubaydy on Zionist Parties,Artworks by ‘adnan Zubaydy on Zionist Parties|~|لوحات للفنان عدنان الزبيدي يتناول فيها موضوع الأحزاب الصهيونية.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/73108_ca_object_representations_media_101493_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/94680_ca_object_representations_media_101493_original.jpg,https://palarchive.org/index.php/Detail/objects/133352/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:32,Artworks by ‘adnan Zubaydy on Zionist Parties,لوحات للفنان عدنان الزبيدي يتناول فيها موضوع الأحزاب الصهيونية.,color slides,,,
ark:/13030/m5wf1p2g,ark:/21198/z14f798k,,Work,135.0,0135.01.0020|~|133353|~|65218_ca_object_representations_media_101494_original.jpg,The Adnan Zubaidy Collection,Adnan Zubaidy Sub-collection 1: Photographs,لوحة للفنان عدنان الزبيدي,An Artwork by ‘adnan Zubaydy,An Artwork by ‘adnan Zubaydy|~|لوحة للفنان عدنان الزبيدي.,"Ozrail, Samar, ""The Adnan Zubaidy Collection"", 12 December 2018 - 22 January 2019, the Palestinian Museum Digital Archive.",color slides,,still image,,,,"[31.952162,35.233154]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/77035_ca_object_representations_media_101494_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/1/4/65218_ca_object_representations_media_101494_original.jpg,https://palarchive.org/index.php/Detail/objects/133353/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Adnan Zubaidy Sub-collection 1: Photographs | The Adnan Zubaidy Collection,20 June 2019 at 9:11:21,9 March 2021 at 11:23:32,An Artwork by ‘adnan Zubaydy,لوحة للفنان عدنان الزبيدي.,color slides,,,
