Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/13030/m5jb3spd,ark:/21198/z14j60rs,,Work,102.0,0102.01.0010|~|86722,Intimate Terrains Exhibition Collection,,مشاهد مجزئة,Fragmented Landscape,"A painting made with ceramics, clay, glass, and wood.|~|لوحة فنية، مكونة من سيراميك، وطين، وزجاج، وخشب. وسائط متعددة.",,,ara,still image,1995; Date created,1995.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86722/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:40,21 November 2020 at 10:54:48,"A painting made with ceramics, clay, glass, and wood.",لوحة فنية، مكونة من سيراميك، وطين، وزجاج، وخشب. وسائط متعددة.,,,,
ark:/13030/m5p34jd4,ark:/21198/z14j60rs,,Work,102.0,0102.01.0011|~|86723,Intimate Terrains Exhibition Collection,,إيقاعات من الماضي,Rhythms from the Past,"A 3D artwork made with ceramics, clay, glass, and wood.|~|عمل فني، عبارة عن مجسم ثلاثي الأبعاد، يحتوي على سيراميك وطين وزجاج وخشب. وسائط متعددة.",,,ara,still image,1989; Date created,1989.0,,,,فيرا|~|Vera,,,,,,https://palarchive.org/index.php/Detail/objects/86723/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:40,21 November 2020 at 10:54:48,"A 3D artwork made with ceramics, clay, glass, and wood.",عمل فني، عبارة عن مجسم ثلاثي الأبعاد، يحتوي على سيراميك وطين وزجاج وخشب. وسائط متعددة.,,فيرا,Vera,
ark:/13030/m5bs6cf2,ark:/21198/z14j60rs,,Work,102.0,0102.01.0012|~|86724,Intimate Terrains Exhibition Collection,,القدس,Jerusalem,A watercolor painting on brown paper.|~|لوحة فنية، حبر وألوان مائية على ورق بني.,,paintings,,still image,1978; Date created,1978.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86724/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:40,21 November 2020 at 10:54:48,A watercolor painting on brown paper.,لوحة فنية، حبر وألوان مائية على ورق بني.,paintings,,,
ark:/13030/m5dk31xm,ark:/21198/z14j60rs,,Work,102.0,0102.01.0013|~|86725,Intimate Terrains Exhibition Collection,,بورتريه ذاتي,Self Portrait,A watercolor painting on a brown paper.|~|لوحة فنية، حبر وألوان مائية على ورق بني.,,paintings,,still image,1978; Date created,1978.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86725/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:40,21 November 2020 at 10:54:48,A watercolor painting on a brown paper.,لوحة فنية، حبر وألوان مائية على ورق بني.,paintings,,,
ark:/13030/m5n37h6v,ark:/21198/z14j60rs,,Work,102.0,0102.01.0014|~|86726,Intimate Terrains Exhibition Collection,,الأمومة,Motherhood,"Painted in 1995 with oil colours on a cloth, this painting features a mother hugging her infant baby in the Palestinian Thobe.|~|لوحة فنية، يظهر فيها أم ترتدي الزي الفلسطيني التقليدي، تحتضن طفلها الرضيع بين يديها.  زيت على قماش.",,paintings,ara,still image,1995; Date created,1995.0,,,,نبيل عناني 1995|~|Nabil ʿanany 1995,,,,,,https://palarchive.org/index.php/Detail/objects/86726/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:40,21 November 2020 at 10:54:48,"Painted in 1995 with oil colours on a cloth, this painting features a mother hugging her infant baby in the Palestinian Thobe.",لوحة فنية، يظهر فيها أم ترتدي الزي الفلسطيني التقليدي، تحتضن طفلها الرضيع بين يديها.  زيت على قماش.,paintings,نبيل عناني 1995,Nabil ʿanany 1995,
ark:/13030/m58t2969,ark:/21198/z14j60rs,,Work,102.0,0102.01.0015|~|86727,Intimate Terrains Exhibition Collection,,دير غسانة,Deir Ghassaneh,"Painted in 2010 with Acrylic on a cloth, this painting features a wide land scattered with trees and old houses.|~|لوحة فنية، تظهر مساحات شاسعة من الأرض المليئة بالأشجار والمباني القديمة. أكريليك على قماش",,paintings,ara,still image,2010; Date created,2010.0,,,,نبيل غناني 2010|~|Nabil ʿanany 2010,,,,,,https://palarchive.org/index.php/Detail/objects/86727/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:41,21 November 2020 at 10:54:47,"Painted in 2010 with Acrylic on a cloth, this painting features a wide land scattered with trees and old houses.",لوحة فنية، تظهر مساحات شاسعة من الأرض المليئة بالأشجار والمباني القديمة. أكريليك على قماش,paintings,نبيل غناني 2010,Nabil ʿanany 2010,
ark:/13030/m5521jhb,ark:/21198/z14j60rs,,Work,102.0,0102.01.0016|~|86728,Intimate Terrains Exhibition Collection,,بدون عنوان,Untitled,Leather on wood.|~|جلد على خشب.,,,,still image,2014; Date created,2014.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86728/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:41,21 November 2020 at 10:54:47,Leather on wood.,جلد على خشب.,,,,
ark:/13030/m5rv87z9,ark:/21198/z14j60rs,,Work,102.0,0102.01.0017|~|86729,Intimate Terrains Exhibition Collection,,بلا عنوان,Untitled,Oil painting on fabric.|~|لوحة فنية، زيت على قماش.,,paintings,ara,still image,1930; Date created,1930.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86729/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:41,21 November 2020 at 10:54:47,Oil painting on fabric.,لوحة فنية، زيت على قماش.,paintings,,,
ark:/13030/m5384vx1,ark:/21198/z14j60rs,,Work,102.0,0102.01.0018|~|86730,Intimate Terrains Exhibition Collection,,الحمراء,Alhambra,Oil painting on fabric.|~|لوحة فنية، زيت على قماش.,,paintings,ara,still image,1930; Date created,1930.0,,,,لا غالب الا الله|~|No defeater but Allah,,,,,,https://palarchive.org/index.php/Detail/objects/86730/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:41,21 November 2020 at 10:54:47,Oil painting on fabric.,لوحة فنية، زيت على قماش.,paintings,لا غالب الا الله,No defeater but Allah,
ark:/13030/m5tr3mtr,ark:/21198/z14j60rs,,Work,102.0,0102.01.0019|~|86731,Intimate Terrains Exhibition Collection,,القصر,The Palace,Oil painting on fabric.|~|لوحة فنية، زيت على قماش.,,paintings,,still image,1930; Date created,1930.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86731/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:42,21 November 2020 at 10:54:47,Oil painting on fabric.,لوحة فنية، زيت على قماش.,paintings,,,
ark:/13030/m5vn1zgx,ark:/21198/z14j60rs,,Work,102.0,0102.01.0020|~|86732,Intimate Terrains Exhibition Collection,,يافا,Yaffa,Oil painting on fabric.|~|لوحة فنية، ألوان زيتية على قماش.,,paintings,eng|~|ara,still image,1979; Date created,1979.0,,,,سليمان منصور 79|~|S Mansour  79,,,,,,https://palarchive.org/index.php/Detail/objects/86732/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:42,21 November 2020 at 10:54:47,Oil painting on fabric.,لوحة فنية، ألوان زيتية على قماش.,paintings,سليمان منصور 79,S Mansour  79,
ark:/13030/m5ck60qb,ark:/21198/z14j60rs,,Work,102.0,0102.01.0021|~|86733,Intimate Terrains Exhibition Collection,,جفنا,Jifna,"Made in 1992, this artwork was made using clay, Henna, oil on fabric, and wood.|~|عمل فني، عمل تركيبي، استخدم طين، حنة ، مسحوق ألوان على خيش وخشب. وسائط متعددة.",,,eng|~|ara,still image,1992; Date created,1992.0,,,,سليمان منصور 92|~|S Mansour  92,,,,,,https://palarchive.org/index.php/Detail/objects/86733/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:42,21 November 2020 at 10:54:47,"Made in 1992, this artwork was made using clay, Henna, oil on fabric, and wood.",عمل فني، عمل تركيبي، استخدم طين، حنة ، مسحوق ألوان على خيش وخشب. وسائط متعددة.,,سليمان منصور 92,S Mansour  92,
ark:/13030/m5gb9qbr,ark:/21198/z14j60rs,,Work,102.0,0102.01.0022|~|86734,Intimate Terrains Exhibition Collection,,بلا عنوان,Untitled,A burnt-colour wood artwork|~|عمل فني، عبارة عن خشب محروق وملون.,,,,still image,1997; Date created,1997.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86734/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:42,21 November 2020 at 10:54:47,A burnt-colour wood artwork,عمل فني، عبارة عن خشب محروق وملون.,,,,
ark:/13030/m5kb0tts,ark:/21198/z14j60rs,,Work,102.0,0102.01.0023|~|86735,Intimate Terrains Exhibition Collection,,بلا عنوان,Untitled,A burnt-colour wood artwork.|~|عمل فني، عبارة عن خشب محروق وملون.,,,,still image,1997; Date created,1997.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86735/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:42,21 November 2020 at 10:54:47,A burnt-colour wood artwork.,عمل فني، عبارة عن خشب محروق وملون.,,,,
ark:/13030/m57t581g,ark:/21198/z14j60rs,,Work,102.0,0102.01.0024|~|86736,Intimate Terrains Exhibition Collection,,صيد 1,Hunt 1,Acrylic fabric painting.|~|لوحة فنية، أكريليك على قماش.,,paintings,,still image,2019; Date created,2019.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86736/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:43,21 November 2020 at 10:54:47,Acrylic fabric painting.,لوحة فنية، أكريليك على قماش.,paintings,,,
ark:/13030/m5287tw0,ark:/21198/z14j60rs,,Work,102.0,0102.01.0025|~|86737,Intimate Terrains Exhibition Collection,,غروب,Sunset,Watercolour on paper.|~|ألوان مائية على ورق.,,paintings,eng,still image,1953; Date created,1953.0,,,,sunset may..1953 on the way to heaven|~|غروب أيار.. 1953  الطريق الى الجنة,,,,,,https://palarchive.org/index.php/Detail/objects/86737/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:43,21 November 2020 at 10:54:47,Watercolour on paper.,ألوان مائية على ورق.,paintings,sunset may..1953 on the way to heaven,غروب أيار.. 1953  الطريق الى الجنة,On the Way to Hebron | On the Way to Hebron
ark:/13030/m59q0mxz,ark:/21198/z14j60rs,,Work,102.0,0102.01.0026|~|86738,Intimate Terrains Exhibition Collection,,سلسلة جبل الزيتون,The Mount of Olives series,Black ink and watercolours on paper.|~|ألوان مائية وحبر أسود على ورق.,,paintings,,still image,1954; Date created,1954.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86738/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:43,21 November 2020 at 10:54:47,Black ink and watercolours on paper.,ألوان مائية وحبر أسود على ورق.,paintings,,,
ark:/13030/m55x9w63,ark:/21198/z14j60rs,,Work,102.0,0102.01.0027|~|86739,Intimate Terrains Exhibition Collection,,سلسلة جبل الزيتون,The Mount of Olives series,Black ink and watercolours on paper.|~|ألوان مائية وحبر أسود على ورق.,,paintings,,still image,1954; Date created,1954.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86739/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:43,21 November 2020 at 10:54:47,Black ink and watercolours on paper.,ألوان مائية وحبر أسود على ورق.,paintings,,,
ark:/13030/m5xh7bfj,ark:/21198/z14j60rs,,Work,102.0,0102.01.0028|~|86740,Intimate Terrains Exhibition Collection,,بلا عنوان,Untitled,Watercolours on paper.|~|.ألوان مائية على ورق,,paintings,,still image,1954; Date created,1954.0,,,,8.11.54,,,,,,https://palarchive.org/index.php/Detail/objects/86740/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,21 November 2020 at 10:54:47,Watercolours on paper.,.ألوان مائية على ورق,paintings,8.11.54,,
ark:/13030/m5424hbh,ark:/21198/z14j60rs,,Work,102.0,0102.01.0029|~|86741,Intimate Terrains Exhibition Collection,,بلا عنوان,Untitled,Black ink and watercolours on paper.|~|.ألوان مائية على ورق,,paintings,,still image,1954; Date created,1954.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86741/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,21 November 2020 at 10:54:47,Black ink and watercolours on paper.,.ألوان مائية على ورق,paintings,,,
ark:/13030/m56x6xbg,ark:/21198/z14j60rs,,Work,102.0,0102.01.0030|~|86742|~|34921_ca_object_representations_media_59953_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 2,Untitled 2,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني طباعة رقمية.",,black-and-white photographs,,still image,2015,2015.0,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/57472_ca_object_representations_media_59953_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/34921_ca_object_representations_media_59953_original.jpg,https://palarchive.org/index.php/Detail/objects/86742/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني طباعة رقمية.",black-and-white photographs,,,
ark:/13030/m5sv5933,ark:/21198/z14j60rs,,Work,102.0,0102.01.0031|~|86743|~|27203_ca_object_representations_media_59955_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 12,Untitled 12,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/51481_ca_object_representations_media_59955_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/27203_ca_object_representations_media_59955_original.jpg,https://palarchive.org/index.php/Detail/objects/86743/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
ark:/13030/m5j46cvr,ark:/21198/z14j60rs,,Work,102.0,0102.01.0032|~|86744|~|58402_ca_object_representations_media_59954_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 20,Untitled 20,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/2064_ca_object_representations_media_59954_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/58402_ca_object_representations_media_59954_original.jpg,https://palarchive.org/index.php/Detail/objects/86744/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
ark:/13030/m5bk8zpx,ark:/21198/z14j60rs,,Work,102.0,0102.01.0033|~|86745|~|46073_ca_object_representations_media_59956_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 22,Untitled 22,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/57495_ca_object_representations_media_59956_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/46073_ca_object_representations_media_59956_original.jpg,https://palarchive.org/index.php/Detail/objects/86745/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:45,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
ark:/13030/m5dg4bfd,ark:/21198/z14j60rs,,Work,102.0,0102.01.0034|~|86746,Intimate Terrains Exhibition Collection,,قرية طمرة,Tamra Village,Oil painting on fabric.|~|لوحة فنية، زيت على قماش.,,paintings,,still image,1995; Date created,1995.0,,,,,,,,,,https://palarchive.org/index.php/Detail/objects/86746/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:45,21 November 2020 at 10:54:47,Oil painting on fabric.,لوحة فنية، زيت على قماش.,paintings,,,
