Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,AltTitle.other,Title,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription-NO,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title,Program,IIIF Manifest URL
ark:/13030/m5ps5mtm,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0010,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,أطفال من عائلة الخطيب,Kids of al-Khatib Family,"A black-and-white photograph of two kids from the al-Khatib family, at a public park.|~|صورة غير ملونة يظهر فيها اطفال من عائلة الخطيب في إحدى الحدائق العامة.",,black-and-white photographs,ara,still image,12 September 1968; Date created,1968-09-12,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3869.0,5424.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/81720_ca_object_representations_media_150280_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/42641_ca_object_representations_media_150280_original.jpg,https://palarchive.org/index.php/Detail/objects/182979/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:27,15 March 2022 at 14:46:49,"A black-and-white photograph of two kids from the al-Khatib family, at a public park.",صورة غير ملونة يظهر فيها اطفال من عائلة الخطيب في إحدى الحدائق العامة.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ps5mtm/manifest
ark:/13030/m5550dd0,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0011,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,طفلة من عائلة الخطيب,A Kid from al-Khatib Family,"A black-and-white photograph of a kid from al-Khatib family, standing in front of a building entrance in Kuwait.|~|صورة غير ملونة تظهر فيها طفلة من عائلة الخطيب، تقف أمام مدخل إحدى البنايات في الكويت.",,black-and-white photographs,ara,still image,11 March 1966; Date created,1966-03-11,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3865.0,5310.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/61698_ca_object_representations_media_150282_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/38543_ca_object_representations_media_150282_original.jpg,https://palarchive.org/index.php/Detail/objects/182980/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:50,"A black-and-white photograph of a kid from al-Khatib family, standing in front of a building entrance in Kuwait.",صورة غير ملونة تظهر فيها طفلة من عائلة الخطيب، تقف أمام مدخل إحدى البنايات في الكويت.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5550dd0/manifest
ark:/13030/m5fc2ts6,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0012,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,أطفال من عائلة الخطيب على شاطئ السالمية في الكويت,Kids of al-Khatib Family Gathering on as-Salmeyya Beach-Kuwait,"A black-and-white photograph captures kids of al-Khatib family laying on as-Salmeyya beach, Kuwait.|~|صورة غير ملونة يظهر فيها أطفال من عائلة الخطيب يستجمون على شاطئ السالمية في الكويت.",,black-and-white photographs,ara,still image,11 March 1966; Date created,1966-03-11,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3811.0,5372.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/5762_ca_object_representations_media_150284_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/39581_ca_object_representations_media_150284_original.jpg,https://palarchive.org/index.php/Detail/objects/182981/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:50,"A black-and-white photograph captures kids of al-Khatib family laying on as-Salmeyya beach, Kuwait.",صورة غير ملونة يظهر فيها أطفال من عائلة الخطيب يستجمون على شاطئ السالمية في الكويت.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fc2ts6/manifest
ark:/13030/m51c9nn8,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0013,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,سيدتان وطفل من عائلة الخطيب على شاطئ السالمية في الكويت,Two Ladies and a Kid of al-Khatib Family on as-Salmeyya Beach- Kuwait,"A black-and-white photograph captures two women and a kid of al-Khatib family, on vacation in as-Salmeyya beach, Kuwait.|~|صورة غير ملونة تظهر فيها سيدتان وطفل من عائلة الخطيب أثناء استجمامهم على شاطئ السالمية في الكويت.",,black-and-white photographs,ara,still image,11 March 1966; Date created,1966-03-11,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3839.0,5344.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/27798_ca_object_representations_media_150286_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/76560_ca_object_representations_media_150286_original.jpg,https://palarchive.org/index.php/Detail/objects/182982/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:50,"A black-and-white photograph captures two women and a kid of al-Khatib family, on vacation in as-Salmeyya beach, Kuwait.",صورة غير ملونة تظهر فيها سيدتان وطفل من عائلة الخطيب أثناء استجمامهم على شاطئ السالمية في الكويت.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51c9nn8/manifest
ark:/13030/m5190zbv,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0014,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,طفل من عائلة الخطيب,A Kid from al-Khatib Family,"A black-and-white photograph of a kid from al-Khatib family, standing in the streets of Kuwait.|~|صورة غير ملونة يظهر فيها أحد أطفال عائلة الخطيب يقف في أحد شوارع الكويت.",,black-and-white photographs,ara,still image,,,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3824.0,5279.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/95677_ca_object_representations_media_150288_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/63700_ca_object_representations_media_150288_original.jpg,https://palarchive.org/index.php/Detail/objects/182983/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:51,"A black-and-white photograph of a kid from al-Khatib family, standing in the streets of Kuwait.",صورة غير ملونة يظهر فيها أحد أطفال عائلة الخطيب يقف في أحد شوارع الكويت.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5190zbv/manifest
ark:/13030/m55v1b93,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0015,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,أفراد من عائلة الخطيب أثناء رحلة استجمام,Members of al-Khatib Family during a Family Trip,"A black-and-white photograph captures al-Khatib family members on a trip, Kuwait.|~|صورة غير ملونة يظهر فيها أفراد من عائلة الخطيب أثناء رحلة استجمام لهم في إحدى المدن الكويتية.",,black-and-white photographs,,still image,9 November 1966; Date created,1966-11-09,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3869.0,5313.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/67623_ca_object_representations_media_150289_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/69036_ca_object_representations_media_150289_original.jpg,https://palarchive.org/index.php/Detail/objects/182984/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:51,"A black-and-white photograph captures al-Khatib family members on a trip, Kuwait.",صورة غير ملونة يظهر فيها أفراد من عائلة الخطيب أثناء رحلة استجمام لهم في إحدى المدن الكويتية.,black-and-white photographs,,,Al-Khatib Family Members on a Trip | Al-Khatib Family Members on a Trip,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm55v1b93/manifest
ark:/13030/m5nw792h,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0016,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,امرأة من عائلة الخطيب,A Woman from al-Khatib Family,"A black-and-white photograph captures a woman from al-Khatib family standing in front of a car, Kuwait.|~|صورة غير ملونة فيها امرأة من عائلة الخطيب وهي تقف امام سيارة في إحدى المدن الكويتية.",,black-and-white photographs,ara,still image,9 November 1966; Date created,1966-11-09,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,5313.0,3841.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/82092_ca_object_representations_media_150291_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/91843_ca_object_representations_media_150291_original.jpg,https://palarchive.org/index.php/Detail/objects/182985/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:51,"A black-and-white photograph captures a woman from al-Khatib family standing in front of a car, Kuwait.",صورة غير ملونة فيها امرأة من عائلة الخطيب وهي تقف امام سيارة في إحدى المدن الكويتية.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5nw792h/manifest
ark:/13030/m5wm958q,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0017,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,سهام الخطيب على شاطئ السالمية في الكويت,"Seham al-Khatib, as-Salmeyya Beach, Kuwait","A black-and-white photograph captures Seham al-Khatib with a kid on as-Salmeyya beach, Kuwait.|~|صورة غير ملونة تظهر فيها سهام الخطيب وفي طفلة على شاطئ السالمية في الكويت.",,black-and-white photographs,ara,still image,11 March 1966; Date created,1966-03-11,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3866.0,5344.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/87809_ca_object_representations_media_150293_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/63400_ca_object_representations_media_150293_original.jpg,https://palarchive.org/index.php/Detail/objects/182986/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:52,"A black-and-white photograph captures Seham al-Khatib with a kid on as-Salmeyya beach, Kuwait.",صورة غير ملونة تظهر فيها سهام الخطيب وفي طفلة على شاطئ السالمية في الكويت.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5wm958q/manifest
ark:/13030/m5wb322r,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0018,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,افراد من عائلة الخطيب خلال رحلة استجمام,Al-Khatib Family Members on a Vacation,"A black-and-white photograph of al-Khatib family members, having a barbeque on a trip in Kuwait.|~|صورة غير ملونة يظهر فيها أفراد من عائلة الخطيب واحدهم  يقوم بالشواء خلال رحلة استجمام للعائلة في إحدى المدن الكويتية.",,black-and-white photographs,ara,still image,9 November 1966; Date created,1966-11-09,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3866.0,5316.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/27223_ca_object_representations_media_150295_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/62384_ca_object_representations_media_150295_original.jpg,https://palarchive.org/index.php/Detail/objects/182987/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:52,"A black-and-white photograph of al-Khatib family members, having a barbeque on a trip in Kuwait.",صورة غير ملونة يظهر فيها أفراد من عائلة الخطيب واحدهم  يقوم بالشواء خلال رحلة استجمام للعائلة في إحدى المدن الكويتية.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5wb322r/manifest
ark:/13030/m5356b64,ark:/21198/z12z6r3w,,Work,240.0,0240.01.0019,The Na'ima Khatib Collection,Na'ima Khatib Sub-collection 1: Photographs,سيدة من عائلة الخطيب أثناء رحلة استجمام عائلية,A Lady from al-Khatib Family on Vacation,A black-and-white photograph of a lady from al-Khatib chopping vegetables during a family trip in Kuwait.|~|صورة غير ملونة تظهرفيها  سيدة من عائلة الخطيب تقوم بتقطيع الخضار على الصندوق الخلفي لإحدى السيارات أثناء رحلة استجمام عائلية في إحدى المدن الكويتية.,,black-and-white photographs,ara,still image,9 November 1966; Date created,1966-11-09,,,Culture and Arts|~|Social History|~|Women,,image/jpeg,3841.0,5286.0,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/2023_ca_object_representations_media_150297_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/0/2/72251_ca_object_representations_media_150297_original.jpg,https://palarchive.org/index.php/Detail/objects/182988/lang/en_US,The Palestinian Museum Digital Archive,info@palarchive.org,loan,acceptable; 226,,The Na'ima Khatib Collection   | Na'ima Khatib Sub-collection 1: Photographs,30 September 2019 at 13:34:28,15 March 2022 at 14:46:52,A black-and-white photograph of a lady from al-Khatib chopping vegetables during a family trip in Kuwait.,صورة غير ملونة تظهرفيها  سيدة من عائلة الخطيب تقوم بتقطيع الخضار على الصندوق الخلفي لإحدى السيارات أثناء رحلة استجمام عائلية في إحدى المدن الكويتية.,black-and-white photographs,,,,International Digital Ephemera Project,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5356b64/manifest
